-476 ,-543 ,-732 ,-668 ,-837 ,-1121 ,-1167 ,-1495 ,-1869 ,-2062 ,-2435 ,-2507 ,-2761 ,-3220 ,-3088 ,-2908 ,-2787 ,-2648 ,-2394 ,-2253 ,-1923 ,-1736 ,-1803 ,-1576 ,-1525 ,-1349 ,-943 ,-540 ,-282 ,-108 ,7 ,
-8 ,-81 ,-208 ,-431 ,-522 ,-606 ,-815 ,-959 ,-1204 ,-914 ,-594 ,-628 ,-411 ,-559 ,-653 ,-589 ,-792 ,-922 ,-1107 ,-1245 ,-1260 ,-1139 ,-1035 ,-1043 ,-667 ,-409 ,-408 ,-434 ,-626 ,-715 ,-645 ,-502 ,
-332 ,-182 ,-9 ,297 ,769 ,1014 ,1355 ,1641 ,1559 ,1469 ,1372 ,1291 ,1383 ,1383 ,1185 ,1186 ,841 ,652 ,632 ,422 ,441 ,388 ,321 ,200 ,363 ,435 ,382 ,132 ,-217 ,-496 ,-869 ,-934 ,
-1186 ,-1212 ,-1142 ,-1227 ,-1137 ,-1196 ,-1338 ,-1253 ,-1208 ,-1039 ,-734 ,-609 ,-269 ,205 ,672 ,974 ,1023 ,881 ,827 ,921 ,1023 ,1166 ,1030 ,818 ,675 ,610 ,761 ,870 ,821 ,912 ,1124 ,1057 ,
1063 ,961 ,779 ,717 ,546 ,400 ,300 ,400 ,476 ,615 ,967 ,972 ,1058 ,931 ,813 ,1065 ,1024 ,1271 ,1809 ,2165 ,2578 ,3101 ,3463 ,3635 ,3806 ,3814 ,3581 ,3507 ,3535 ,3466 ,3321 ,3019 ,
2774 ,2573 ,2190 ,1952 ,1647 ,1166 ,981 ,782 ,640 ,428 ,-91 ,-439 ,-833 ,-1315 ,-1754 ,-2118 ,-2428 ,-2679 ,-2717 ,-2681 ,-2677 ,-2750 ,-3013 ,-3198 ,-3190 ,-3206 ,-3037 ,-2993 ,-2786 ,-2428 ,-2255 ,-2039 ,
-1807 ,-1587 ,-1482 ,-1383 ,-1276 ,-1205 ,-1088 ,-1179 ,-1154 ,-1123 ,-1120 ,-795 ,-824 ,-760 ,-410 ,-337 ,-185 ,2 ,-112 ,-28 ,9 ,-48 ,138 ,165 ,377 ,593 ,647 ,727 ,696 ,502 ,286 ,147 ,
258 ,409 ,443 ,626 ,825 ,1127 ,1442 ,1556 ,1613 ,1486 ,1358 ,1389 ,1360 ,1336 ,1155 ,1090 ,1127 ,836 ,628 ,482 ,335 ,350 ,214 ,175 ,251 ,71 ,36 ,-106 ,-626 ,-957 ,-1207 ,-1618 ,
-1863 ,-2077 ,-2393 ,-2472 ,-2574 ,-2645 ,-2715 ,-2955 ,-3022 ,-3108 ,-3160 ,-3207 ,-3212 ,-2994 ,-2539 ,-2227 ,-2227 ,-2112 ,-1944 ,-1598 ,-1187 ,-1029 ,-884 ,-681 ,-458 ,-161 ,200 ,537 ,853 ,985 ,1236 ,1417 ,
1622 ,1834 ,2043 ,2277 ,2114 ,2021 ,1891 ,1763 ,1912 ,2032 ,1825 ,1895 ,1641 ,1318 ,1417 ,1031 ,695 ,443 ,187 ,156 ,224 ,437 ,838 ,1132 ,1362 ,1583 ,1679 ,1714 ,1916 ,1971 ,1708 ,1663 ,
1495 ,1567 ,1734 ,1523 ,1369 ,1111 ,994 ,1014 ,1005 ,1009 ,788 ,605 ,411 ,68 ,-293 ,-851 ,-1416 ,-1893 ,-2274 ,-2437 ,-2651 ,-2827 ,-2879 ,-3056 ,-3233 ,-3239 ,-3313 ,-3366 ,-3303 ,-3203 ,-2883 ,-2635 ,
-2152 ,-1788 ,-1622 ,-1308 ,-1208 ,-973 ,-684 ,-621 ,-315 ,-88 ,-80 ,-22 ,23 ,190 ,313 ,406 ,603 ,625 ,665 ,878 ,901 ,818 ,404 ,78 ,-164 ,-235 ,-103 ,-242 ,-196 ,-288 ,-447 ,-585 ,
-785 ,-1074 ,-1379 ,-1497 ,-1716 ,-1563 ,-1241 ,-833 ,-248 ,-19 ,-24 ,-42 ,82 ,305 ,448 ,475 ,475 ,490 ,541 ,574 ,459 ,198 ,136 ,-140 ,-376 ,-150 ,-55 ,-1 ,55 ,-106 ,-434 ,-738 ,
-1085 ,-1301 ,-1391 ,-1552 ,-1757 ,-1943 ,-1987 ,-1934 ,-1926 ,-2050 ,-2157 ,-2288 ,-2266 ,-1928 ,-1576 ,-1439 ,-1250 ,-1143 ,-1053 ,-730 ,-597 ,-444 ,-357 ,-376 ,-287 ,-223 ,-61 ,149 ,319 ,136 ,-60 ,102 ,
345 ,730 ,1114 ,1210 ,1163 ,1198 ,952 ,838 ,763 ,536 ,584 ,623 ,630 ,796 ,995 ,869 ,613 ,379 ,19 ,-176 ,-189 ,-97 ,32 ,336 ,616 ,896 ,1162 ,1371 ,1555 ,1560 ,1744 ,1731 ,
1763 ,1981 ,2151 ,2303 ,2197 ,2167 ,2096 ,2071 ,2214 ,2233 ,2152 ,2068 ,1978 ,2058 ,2039 ,1735 ,1386 ,819 ,348 ,178 ,-51 ,-343 ,-619 ,-962 ,-1194 ,-1338 ,-1505 ,-1760 ,-2096 ,-2339 ,-2516 ,-2579 ,
-2489 ,-2351 ,-2021 ,-1807 ,-1808 ,-1630 ,-1567 ,-1421 ,-1218 ,-1297 ,-1394 ,-1430 ,-1525 ,-1371 ,-981 ,-945 ,-853 ,-761 ,-705 ,-194 ,18 ,197 ,167 ,-158 ,-193 ,-259 ,-282 ,-240 ,-325 ,-373 ,-364 ,-461 ,
-599 ,-437 ,-463 ,-651 ,-741 ,-1063 ,-994 ,-508 ,70 ,490 ,673 ,917 ,1097 ,1404 ,1763 ,1922 ,2132 ,2326 ,2428 ,2532 ,2670 ,2846 ,2780 ,2634 ,2377 ,2052 ,1888 ,1919 ,2074 ,2039 ,1893 ,1543 ,
1130 ,876 ,520 ,-25 ,-565 ,-986 ,-1293 ,-1386 ,-1468 ,-1628 ,-1863 ,-2217 ,-2521 ,-2714 ,-2778 ,-2832 ,-2758 ,-2574 ,-2376 ,-2289 ,-2271 ,-2083 ,-2034 ,-2055 ,-1944 ,-1895 ,-1878 ,-1642 ,-1387 ,-1276 ,-1254 ,-1322 ,
-1308 ,-1206 ,-1074 ,-903 ,-899 ,-917 ,-707 ,-550 ,-603 ,-552 ,-537 ,-567 ,-607 ,-602 ,-310 ,-83 ,19 ,63 ,5 ,47 ,-89 ,-138 ,-2 ,133 ,502 ,1011 ,1536 ,2191 ,2668 ,2957 ,3259 ,3320 ,
3383 ,3440 ,3503 ,3739 ,3843 ,3773 ,3709 ,3603 ,3339 ,3343 ,3178 ,2845 ,2840 ,2803 ,2817 ,2825 ,2568 ,2129 ,1543 ,1095 ,703 ,285 ,-91 ,-528 ,-864 ,-1054 ,-1359 ,-1794 ,-2076 ,-2425 ,-2684 ,-2909 ,
-3266 ,-3260 ,-3156 ,-3062 ,-2835 ,-2779 ,-2805 ,-2951 ,-3084 ,-2896 ,-2848 ,-2802 ,-2633 ,-2609 ,-2457 ,-2340 ,-2308 ,-2061 ,-1877 ,-1771 ,-1570 ,-1383 ,-1125 ,-851 ,-582 ,-495 ,-617 ,-716 ,-703 ,-439 ,-180 ,14 ,
217 ,389 ,478 ,501 ,557 ,475 ,288 ,217 ,288 ,553 ,808 ,1020 ,1485 ,1970 ,2179 ,2281 ,2533 ,2745 ,2916 ,3101 ,3201 ,3094 ,3069 ,3033 ,2922 ,3015 ,2728 ,2425 ,2331 ,2442 ,2553 ,2368 ,
